,tags,Job type,Experience level,Role,Industry,Company size,Company type
0,"['qa', 'automated-tests', 'testing', 'ios', 'objective-c', 'iphone', 'amazon-web-services', 'user-experience', 'clojure', 'amazon-web-services', 'web-services', 'amazon-web-services', 'web-services']",Full-time,,QA/Test Developer,"Agile Software Development, Education Technology, Web Technology",501–1k people,Public
1,"['python', 'java', 'ruby', 'javascript', 'c#', 'reactjs', 'javascript', 'api', 'ruby', 'python', 'python', 'java', 'ruby', 'javascript', 'c#', 'python', 'java', 'ruby', 'javascript', 'c#', 'python', 'java', 'ruby', 'javascript', 'c#', 'python', 'java', 'ruby', 'javascript', 'c#']",Contract,"Mid-Level, Senior, Lead",,Software Development / Engineering,51–200 people,VC Funded
2,"['agile', 'testing', 'automated-tests', 'android', 'mobile', 'java', 'python', 'web-services', 'design', 'unix', 'windows', 'cloud', 'unix', 'windows', 'cloud', 'agile', 'testing', 'automated-tests']",Full-time,,QA/Test Developer,Telecommunications,10k+ people,Public
3,['java'],Full-time,,,,,
4,"['sapbw', 'abap', 'hana', 'vba', 'powershell', 'identity', 'pos', 'hana', 'sap', 'abap', 'java', 'unit-testing', 'microservices', 'amazon-web-services', 'continuous-deployment', 'continuous-integration', 'node.js', 'unit-testing', 'javascript', 'typescript', 'vue.js', 'frontend', 'scrum', 'microservices', 'javascript']",Full-time,Senior,,"Logistics & Distribution, Retail",10k+ people,Private
5,"['android', 'kotlin', 'agile', 'java', 'unit-testing', 'vba', 'powershell', 'identity', 'pos', 'hana', 'sap', 'abap', 'sapbw', 'abap', 'hana', 'java', 'unit-testing', 'microservices', 'amazon-web-services', 'continuous-deployment', 'continuous-integration', 'node.js', 'unit-testing', 'javascript', 'typescript']",Full-time,Senior,Mobile Developer,"Logistics & Distribution, Retail",10k+ people,Private
6,"['sql', 'python']",Full-time,,Data Scientist,,,
7,"['ios', 'objective-c', 'iphone', 'amazon-web-services', 'user-experience', 'clojure', 'qa', 'automated-tests', 'testing', 'amazon-web-services', 'web-services', 'amazon-web-services', 'web-services']",Full-time,,Product Manager,"Agile Software Development, Education Technology, Web Technology",501–1k people,Public
8,"['java', 'python', 'machine-learning', 'artificial-intelligence', 'java', 'python', 'r', 'd3.js', 'paraview']",Full-time,Mid-Level,"Backend Developer, Data Scientist","Academic Research, Data & Analytics, Education",201–500 people,Public
9,"['continuous-integration', 'node.js', 'unit-testing', 'javascript', 'typescript', 'vba', 'powershell', 'identity', 'pos', 'hana', 'sap', 'abap', 'sapbw', 'abap', 'hana', 'java', 'unit-testing', 'microservices', 'amazon-web-services', 'continuous-deployment', 'vue.js', 'frontend', 'scrum', 'microservices', 'javascript']",Full-time,Senior,Backend Developer,"Logistics & Distribution, Retail",10k+ people,Private
